web	Latitude	Longitude	connectance	web.asymmetry	links.per.species	nestedness	n.aff	n.hosts	host.sharing	aff.sharing	modularity	z.est	zstar	zstarLO	zstarHI	coex.plant	coex.poll	Ntot	Nact	Nzyg	Nnon	PropZ	ZvA	lat.x	lat.sc	mnPoll	mdPoll	mnMNshared	mnRshared
M_PL_056	35.583333	138.383333	0.026223092	0.600877193	1.910087719	1.663648699	365	91	0.128225199	0.597313797	0.455676645	0.686740215	0.720748456	0.709927759	0.731569153	4.812758978	1.491806514	91	81	8	2	0.087912088	0.098765432	5.965176695	0.782033148	9.719101124	7	0.60349563	0.081603114
M_PL_044	28.377248	129.493741	0.016793551	0.694019471	1.564673157	1.117004862	609	110	0.087195359	0.313761468	0.570934057	0.755403257	0.783058533	0.773891798	0.792225267	3.783183471	1.373976063	110	90	18	2	0.163636364	0.2	5.327029942	0.474398644	10.38888889	5	0.318977234	0.040065589
M_PL_021	35.333333	135.75	0.019364683	0.763020833	1.553385417	0.686233511	677	91	0.143038816	0.562637363	0.577358246	0.793948413	0.818249239	0.804714073	0.831784405	3.426358569	1.332403614	91	72	19	0	0.208791209	0.263888889	5.944184805	0.771913486	13.10989011	4	0.562637363	0.101321908
M_PL_020	81.816667	-71.3	0.104395604	0.63963964	1.711711712	5.364710625	91	20	0.654212454	1.131578947	0.39389196	0.648820488	NA	NA	NA	3.169425953	1.584711494	20	18	2	0	0.1	0.111111111	9.045256602	2.266862222	9.5	5	1.131578947	0.162732051
M_PL_069_01	-27.27	-49.01	0.264705882	-0.47826087	1.173913043	34.35480655	6	17	0.8	0.573529412	0.397119343	0.37758152	0.403566536	0.255915875	0.551217197	1.476280321	4.142964434	17	6	11	0	0.647058824	1.833333333	5.222068556	0.423799399	1.588235294	1	0.573529412	0.369485294
M_PL_069_02	-27.26	-49.02	0.388888889	-0.384615385	1.076923077	41.47972477	4	9	0.833333333	0.611111111	0.415816307	0.348560128	0.398366833	0.366500925	0.43023274	1.705903773	0.99964988	9	4	5	0	0.555555556	1.25	5.221110993	0.423337782	1.555555556	2	0.611111111	0.395833333
M_PL_069_03	-27.26	-49.02	0.5	-0.2	1.2	13.34642646	4	6	1.666666667	1	0.204861104	0.31376547	NA	NA	NA	2.160478414	3.610785809	6	4	2	0	0.333333333	0.5	5.221110993	0.423337782	2	1.5	1	0.522222222
M_PL_070	19.23	-98.97	0.640625	0	2.5625	10.975878	8	8	3.678571429	3.428571429	0.031826299	0.207448306	NA	NA	NA	6.322787874	8.263158586	8	1	7	0	0.875	7	4.38520239	0.020367264	5.125	5	3.428571429	0.73125
M_PL_067	-7.87	-36.4	0.380645161	-0.722222222	1.638888889	12.4327358	5	31	5.1	1.144086022	0.236569941	0.195098379	0.211709765	0.196559574	0.226859956	1.717189006	0.999725556	31	24	6	1	0.193548387	0.25	2.805352028	-0.74123887	1.933333333	1	1.151111111	0.707425926
M_PL_045	71	-52	0.142533937	0.209302326	1.465116279	10.9295254	26	17	0.578461538	0.742647059	0.448601663	0.608366134	0.507257101	-2.297221568	3.31173577	2.384115762	1.623674991	17	16	1	0	0.058823529	0.0625	8.426149773	1.968406387	3.705882353	2	0.742647059	0.246936275
M_PL_026	-0.5	-90.5	0.035978836	-0.320754717	1.283018868	0.711775176	54	105	0.329839273	0.625274725	0.557646096	0.643628665	0.629164896	0.536852024	0.721477767	1.492285786	0.999962909	105	86	18	1	0.171428571	0.209302326	0.707106781	-1.752750143	1.951923077	1	0.630732249	0.501813095
M_PL_022	-34.166667	-69.7	0.087830688	0.363636364	1.257575758	6.531387143	45	21	0.353535354	0.333333333	0.595224261	0.698817591	0.654661886	-0.588195356	1.897519127	2.230280422	1.49510611	21	18	3	0	0.142857143	0.166666667	5.845226001	0.724207934	3.952380952	2	0.333333333	0.109098639
M_PL_023	-33	-69.283333	0.075483092	0.515789474	1.315789474	4.811118882	72	23	0.415101721	0.422924901	0.538527966	0.722453653	0.758965903	0.61083172	0.907100085	2.325896423	1.453824295	23	19	4	0	0.173913043	0.210526316	5.744562647	0.675680662	5.434782609	3	0.422924901	0.096616336
M_PL_017	51.574994	-2.589902	0.151392405	0.519230769	2.875	8.5653121	79	25	1.007789679	3.206666667	0.15004307	0.465479981	0.14022157	-7.34655117	7.62699431	6.864016073	2.689794827	25	20	5	0	0.2	0.25	7.181573226	1.368427329	11.96	9	3.206666667	0.32216391
M_PL_037	56.248737	9.973652	0.18	0.6	1.44	31.46467134	40	10	0.385897436	1.4	0.436631948	0.699078309	NA	NA	NA	5.919964545	1.55587626	10	9	1	0	0.1	0.111111111	7.4999158	1.521892279	7.2	6	1.4	0.193110022
M_PL_038	56.238737	9.993652	0.235119048	0.68	1.58	33.20583943	42	8	0.512195122	2.107142857	0.391043127	0.655341371	NA	NA	NA	9.113096684	1.718480558	8	5	3	0	0.375	0.6	7.499249096	1.521570878	9.875	10	2.107142857	0.218651202
M_PL_043	56.238737	9.953652	0.108885017	0.490909091	2.272727273	11.93862195	82	28	0.472749172	1.611111111	0.289360017	0.544899049	0.541885527	0.465740149	0.618030906	6.39035643	2.010001032	28	22	6	0	0.214285714	0.272727273	7.499249096	1.521570878	8.928571429	7	1.611111111	0.210113958
M_PL_024	75	-114.966667	0.191919192	0.24137931	1.310344828	22.36561344	18	11	0.516339869	0.854545455	0.415512443	0.633574645	0.627734877	0.583687067	0.671782687	2.628862856	1.56845591	11	9	2	0	0.181818182	0.222222222	8.660254038	2.081262167	3.454545455	3	0.854545455	0.257575758
M_PL_025	36.075391	-79.001843	0.25	0.543859649	2.50877193	18.42178458	44	13	1.260042283	3.333333333	0.161425978	0.457127794	0.462611672	0.433052677	0.492170668	7.435738591	2.414102847	13	12	1	0	0.076923077	0.083333333	6.006279298	0.801847679	11	7	3.333333333	0.332486264
M_PL_012	28.127842	-17.248908	0.090909091	0.30952381	1.726190476	4.525636162	55	29	0.548821549	0.884236453	0.419762194	0.609093852	0.61551018	0.59821006	0.632810301	2.400051727	1.692507677	29	25	4	0	0.137931034	0.16	5.303568798	0.463088617	5	2	0.884236453	0.264042273
M_PL_018	56.238737	9.973652	0.093528694	0.458333333	2.659722222	11.79096816	105	39	0.467948718	1.775978408	0.242717594	0.507958547	0.531543839	0.505435601	0.557652077	6.855250259	2.080878472	39	30	9	0	0.230769231	0.3	7.499249096	1.521570878	9.820512821	7	1.775978408	0.199330217
M_PL_036	39.466667	-31.227222	0.25	0.090909091	1.363636364	26.73800218	12	10	0.712121212	0.822222222	0.38055557	0.516281703	0.577390128	0.515688408	0.639091848	2.638405396	2.197053315	10	9	1	0	0.1	0.111111111	6.282250154	0.93488629	3	2.5	0.822222222	0.294907407
M_PL_011	-20.348404	57.552152	0.285714286	-0.037037037	1.925925926	15.3846231	13	14	1.230769231	1.648351648	0.285133123	0.407931741	0.429681427	0.336999613	0.522363241	3.792469645	2.895220253	14	13	1	0	0.071428571	0.076923077	4.510920527	0.080972817	3.714285714	3.5	1.648351648	0.50540293
M_PL_013	-29.616667	30.133333	0.204365079	0.723076923	1.584615385	19.13389088	56	9	0.601948052	2.638888889	0.375860095	0.651265057	NA	NA	NA	7.422181579	1.617095189	9	9	0	0	0	0	5.442119716	0.52988053	11.44444444	8	2.638888889	0.289033883
M_PL_035	17.916667	-76.191667	0.081056466	-0.257731959	1.835051546	6.063059646	36	61	0.644444444	0.526775956	0.434651554	0.433059471	0.468900002	0.445052583	0.49274742	1.925295862	3.041701621	61	50	11	0	0.180327869	0.22	4.232808406	-0.053098044	2.918032787	2	0.526775956	0.226626362
M_PL_015	38.014466	23.635043	0.033617587	0.671267252	3.680050188	3.182746008	666	131	0.244304455	2.299588961	0.350539535	0.501536587	0.54712485	0.539239597	0.555010104	14.04024305	2.263634574	131	104	27	0	0.20610687	0.259615385	6.165587239	0.878646032	22.38931298	18	2.299588961	0.135868811
M_PL_042	-0.949194	-90.977222	0.347222222	-0.333333333	1.388888889	14.52652536	6	12	1.4	1.212121212	0.331200004	0.411648296	NA	NA	NA	1.83467359	0.99898126	12	12	0	0	0	0	0.974265877	-1.62395946	2.083333333	2	1.212121212	0.64709596
M_PL_027	-42.95	171.566667	0.111111111	0.538461538	1.538461538	20.33994941	60	18	0.243502825	0.875816993	0.548993051	0.672239085	0.622242432	0.369546898	0.874937967	5.507804076	1.661825982	18	16	2	0	0.111111111	0.125	6.553624951	1.065709255	6.666666667	7	0.875816993	0.139886375
M_PL_028	-43.02823	171.78466	0.065625548	0.544444444	2.077777778	5.258436376	139	41	0.315191325	1.003658537	0.36700362	0.595873892	0.589930333	0.490090567	0.6897701	4.937925262	1.966838102	41	30	11	0	0.268292683	0.366666667	6.559590688	1.068585187	9.12195122	7	1.003658537	0.133231346
M_PL_029	-43.099531	171.720224	0.059840886	0.413173653	2.071856287	4.676647042	118	49	0.304650152	1.105442177	0.413695753	0.609391524	0.667611496	0.638833727	0.696389265	4.618084137	1.666806016	49	41	8	0	0.163265306	0.195121951	6.565023305	1.071204115	7.06122449	6	1.105442177	0.182784059
M_PL_031	5.583333	-61.716667	0.066326531	0.010309278	1.608247423	8.480884852	49	48	0.256802721	0.398049645	0.536365926	0.555347067	0.568893136	0.535739714	0.602046557	2.482023762	1.87667917	48	41	7	0	0.145833333	0.170731707	2.362907743	-0.954530135	3.25	2	0.398049645	0.123226758
M_PL_030	8.933333	-67.416667	0.073450135	0.308641975	1.345679012	14.86040321	53	28	0.201741655	0.317460317	0.544861555	0.661579352	0.447678754	-1.118278143	2.013635652	3.165659167	1.548329666	28	19	8	1	0.285714286	0.421052632	2.98886818	-0.652770348	3.888888889	3	0.316872428	0.080972794
Robertson-1928	39.278958	-89.8968771	0.045234102	0.515923567	15.63428875	2.101286403	1428	456	2.433647601	8.006323501	0.001047005	0.213050505	0.243337553	0.238883844	0.247791261	20.60006924	9.471679163	456	356	96	4	0.210526316	0.269662921	6.267292717	0.927675685	65.10619469	35	8.064071769	0.181099742
M_PL_071	0.04	-72.27	0.252840909	-0.692307692	1.711538462	16.93646507	8	44	2.214285714	1.114164905	0.278626442	0.290070911	0.281448803	0.249460605	0.313437001	1.915426234	3.517602966	44	33	11	0	0.25	0.333333333	0.2	-1.997213571	2.022727273	2	1.114164905	0.593296335
M_PL_072_01	-37.842015	-58.35858	0.071947953	0.264150943	1.773584906	5.067400094	67	39	0.353233831	0.692307692	0.348248631	0.593087952	0.593383352	0.547118124	0.639648579	2.6612552	1.778449445	39	38	1	0	0.025641026	0.026315789	6.151586381	0.87189657	4.820512821	3	0.692307692	0.194389809
M_PL_072_02	-37.739035	-58.23155	0.082251082	0.3125	1.78125	5.742254434	63	33	0.447516641	0.659090909	0.433962584	0.575957149	0.448035782	-0.226335562	1.122407126	2.816487877	2.039298432	33	31	2	0	0.060606061	0.064516129	6.14321048	0.867858759	5.181818182	2	0.659090909	0.154843465
M_PL_072_03	-37.757207	-58.248482	0.080279813	0.35042735	2.05982906	5.524824636	79	38	0.506978254	0.854907539	0.374218792	0.546772704	0.574904946	0.539153614	0.610656278	2.997488993	1.920806273	38	35	3	0	0.078947368	0.085714286	6.144689333	0.868571677	6.342105263	4.5	0.854907539	0.159457449
M_PL_072_04	-37.885354	-57.841955	0.111304348	0.468085106	2.042553191	8.654255948	69	25	0.676896846	1.066666667	0.338704437	0.54249003	0.566534895	0.539732312	0.593337478	3.267792005	1.955442397	25	20	5	0	0.2	0.25	6.15510796	0.873594235	7.68	4	1.066666667	0.159467211
M_PL_072_05	-37.738483	-58.433472	0.121158911	0.595238095	1.642857143	8.131009246	67	17	0.680687472	1.117647059	0.356358945	0.654201084	0.682139169	0.651045328	0.713233009	3.15384021	1.488840734	17	16	1	0	0.058823529	0.0625	6.143165552	0.8678371	8.117647059	4	1.117647059	0.176340947
M_PL_032	40.133333	-88.166667	0.281385281	0.65	1.625	15.47982394	33	7	0.975378788	2.761904762	0.104615413	0.579231478	NA	NA	NA	4.330787906	1.748697197	7	4	2	1	0.285714286	0.5	6.33508745	0.960357821	10.5	8.5	3.027777778	0.400642292
M_PL_033	45.4	-75.5	0.319004525	0.446808511	3	32.4584523	34	13	1.515151515	4.064102564	0.072984263	0.343091993	0.385109066	0.344249134	0.425968999	10.19821142	3.756490301	13	12	1	0	0.076923077	0.083333333	6.737952211	1.154568793	10.84615385	13	4.064102564	0.368691085
M_PL_034	-42	-73.583333	0.09375	0.662337662	2.025974026	5.153327785	128	26	0.454109252	2.356923077	0.422588944	0.636918575	0.576939674	0.046478468	1.107400879	5.818146225	1.553578508	26	24	2	0	0.076923077	0.083333333	6.480740698	1.03057359	12	7	2.356923077	0.308540844
M_PL_039	28.268611	-16.605556	0.148788927	0.5	1.897058824	17.77463803	51	17	0.458823529	2.058823529	0.448981434	0.610637968	0.574726385	0.15475262	0.99470015	6.248873797	1.731070472	17	12	5	0	0.294117647	0.416666667	5.316823394	0.469478324	7.588235294	6	2.058823529	0.319525114
M_PL_050	28.268611	-16.605556	0.175510204	0.428571429	1.755102041	12.13442161	35	14	0.621848739	1.395604396	0.426243901	0.594736927	0.54632813	0.108663858	0.983992403	4.494286447	1.847673964	14	11	2	1	0.142857143	0.181818182	5.316823394	0.469478324	5.846153846	5	1.360946746	0.292990908
M_PL_051	-41.077069	-71.525206	0.13015873	0.730769231	1.576923077	10.65463246	90	14	0.517852684	1.846153846	0.450178474	0.689602377	NA	NA	NA	6.514382625	1.422282295	14	10	4	0	0.285714286	0.4	6.40913949	0.996056448	11.71428571	6	1.846153846	0.219280447
M_PL_063	-23.341667	-45.116667	0.314814815	-0.6875	2.65625	17.67179791	10	54	5.222222222	2.233403215	0.049394481	0.23552489	0.240961223	0.197250928	0.284671518	3.071677527	5.532837032	54	34	20	0	0.37037037	0.588235294	4.831321455	0.235430047	3.148148148	3	2.233403215	0.790034441
M_PL_052	66.966667	-50.55	0.157264957	0.444444444	1.703703704	18.46575361	39	15	0.541160594	1.457142857	0.312145531	0.616932475	0.635126764	0.578777758	0.691475771	5.221743577	1.64904837	15	14	1	0	0.066666667	0.071428571	8.183316382	1.851342515	6.133333333	5	1.457142857	0.253968254
M_PL_053	33.4	131.5	0.020236377	0.496183206	1.498727735	1.316400986	294	99	0.088458592	0.219542362	0.575963914	0.728564056	0.764223197	0.751704431	0.776741962	3.108791587	1.385740202	99	86	13	0	0.131313131	0.151162791	5.779273311	0.692413801	5.949494949	4	0.219542362	0.046201766
kaehler_et_al_2005	-25.4583	-48.925	0.227272727	0.157894737	1.052631579	21.25901659	11	8	0.563636364	0.535714286	0.545000017	0.681728624	NA	NA	NA	1.978818811	0.999504883	8	3	5	0	0.625	1.666666667	5.045621865	0.338738886	2.5	1.5	0.535714286	0.293154762
Kaiser-Bunbury-2017_Bernica	-4.6667	55.4333	0.161556604	0.536231884	1.985507246	24.82873537	53	16	0.557329463	2.358333333	0.327614695	0.573466976	0.518492612	-0.696243687	1.73322891	0.541593284	0.827759506	17	17	0	0	0	0	2.160254615	-1.052224112	8.058823529	7	2.080882353	NA
Kaiser-Bunbury-2017_Casse-Dent	-4.6667	55.4333	0.139705882	0.52238806	1.701492537	9.748418375	51	16	0.6	1.833333333	0.397199154	0.655005615	0.591215962	-0.709916435	1.89234836	0.444540807	0.837583475	17	16	1	0	0.058823529	0.0625	2.160254615	-1.052224112	6.705882353	4	1.617647059	NA
Kaiser-Bunbury-2017_Copolia	-4.6667	55.4333	0.146226415	0.452054795	2.123287671	18.37700903	53	20	0.518867925	2.126315789	0.301914662	0.551748271	0.529318559	0.40498487	0.653652249	0.529212637	0.852292307	21	21	0	0	0	0	2.160254615	-1.052224112	7.380952381	6	1.923809524	NA
Kaiser-Bunbury-2017_Reserve--La	-4.6667	55.4333	0.176470588	0.484848485	2.227272727	15.21073952	49	17	0.81037415	2.308823529	0.142047301	0.520614215	0.4857924	0.430448679	0.541136121	0.509636721	0.249846207	17	16	1	0	0.058823529	0.0625	2.160254615	-1.052224112	8.647058824	8	2.308823529	0.328332962
Kaiser-Bunbury-2017_Rosebelle	-4.6667	55.4333	0.135933806	0.446153846	1.769230769	9.036887225	47	18	0.556891767	1.39869281	0.370812863	0.61379534	0.62396008	0.568877629	0.679042531	0.384392041	0.637179152	21	21	0	0	0	0	2.160254615	-1.052224112	5.476190476	4	1.019047619	NA
Kaiser-Bunbury-2017_Salazie	-4.6667	55.4333	0.189153439	0.68	1.906666667	18.31941317	63	12	0.582693292	3.545454545	0.370238155	0.619592347	0.634816489	0.606534087	0.663098892	0.604079748	0.643887201	14	14	0	0	0	0	2.160254615	-1.052224112	10.21428571	9	2.571428571	NA
Kaiser-Bunbury-2017_Tea-Plantation	-4.6667	55.4333	0.209908735	0.638888889	2.236111111	23.52461461	59	13	0.693161894	3.782051282	0.298522413	0.523527891	NA	NA	NA	0.715531138	0.332423384	13	13	0	0	0	0	2.160254615	-1.052224112	12.38461538	10	3.782051282	0.353538407
Kaiser-Bunbury-2017_Trois-Freres	-4.6667	55.4333	0.142463235	0.619047619	1.845238095	16.89192316	68	16	0.418349429	2.475	0.407492191	0.6586604	NA	NA	NA	0.819335281	0.360425736	16	15	1	0	0.0625	0.066666667	2.160254615	-1.052224112	9.6875	8	2.475	0.319307669
santos-et-al-2010	-12.7	-39.7667	0.151909722	-0.333333333	2.430555556	6.883994968	24	48	1.826086957	1.068262411	0.121289797	0.341261678	0.350619191	0.316492416	0.384745966	2.416376414	2.858325353	48	39	8	1	0.166666667	0.205128205	3.563705936	-0.37565552	3.680851064	2	1.071525577	0.349046702
varassin_sazima_2012	-19.97638	-40.52986	0.18972332	0.022222222	2.133333333	27.39280562	23	22	0.861660079	1.471861472	0.218532994	0.451563158	0.437744305	0.400239327	0.475249283	4.225491496	2.508525438	22	16	6	0	0.272727273	0.375	4.469494379	0.061002312	4.363636364	4	1.471861472	0.316252038
